district,year,subgroup,sampleN,indicator,crudeWeightedPercent,standardErrorPP,relativeStandardErrorPercent,ageStandardizedPercent,confidenceInterval,period,denominator,rateType,sourceSheet,excelRow,excelColumn,pdfPage
수영구,2024,남자,380,마네킹 실습 경험률,29.9,2.7,9.0,,,최근 2년 동안,해당 하위집단 조사대상 응답자(19세 이상 표본),가중치 적용 조율,"<표>심폐소생술교육경험률및심폐소생술마네킹,AED실습경험률",8,6,208
수영구,2024,남자,380,AED 실습 경험률,20.0,2.7,13.5,,,최근 2년 동안,해당 하위집단 조사대상 응답자(19세 이상 표본),가중치 적용 조율,"<표>심폐소생술교육경험률및심폐소생술마네킹,AED실습경험률",8,8,208
수영구,2024,여자,533,심폐소생술 교육 경험률,17.9,1.9,10.9,,,최근 2년 동안,해당 하위집단 조사대상 응답자(19세 이상 표본),가중치 적용 조율,"<표>심폐소생술교육경험률및심폐소생술마네킹,AED실습경험률",9,4,208
수영구,2024,여자,533,마네킹 실습 경험률,16.5,1.9,11.4,,,최근 2년 동안,해당 하위집단 조사대상 응답자(19세 이상 표본),가중치 적용 조율,"<표>심폐소생술교육경험률및심폐소생술마네킹,AED실습경험률",9,6,208
수영구,2024,여자,533,AED 실습 경험률,11.9,1.5,12.5,,,최근 2년 동안,해당 하위집단 조사대상 응답자(19세 이상 표본),가중치 적용 조율,"<표>심폐소생술교육경험률및심폐소생술마네킹,AED실습경험률",9,8,208
수영구,2024,19-29,92,심폐소생술 교육 경험률,38.1,5.1,13.4,,,최근 2년 동안,해당 하위집단 조사대상 응답자(19세 이상 표본),가중치 적용 조율,"<표>심폐소생술교육경험률및심폐소생술마네킹,AED실습경험률",11,4,208
수영구,2024,19-29,92,마네킹 실습 경험률,38.1,5.1,13.4,,,최근 2년 동안,해당 하위집단 조사대상 응답자(19세 이상 표본),가중치 적용 조율,"<표>심폐소생술교육경험률및심폐소생술마네킹,AED실습경험률",11,6,208
수영구,2024,19-29,92,AED 실습 경험률,30.4,5.0,16.6,,,최근 2년 동안,해당 하위집단 조사대상 응답자(19세 이상 표본),가중치 적용 조율,"<표>심폐소생술교육경험률및심폐소생술마네킹,AED실습경험률",11,8,208
수영구,2024,30-39,106,심폐소생술 교육 경험률,34.1,5.0,14.6,,,최근 2년 동안,해당 하위집단 조사대상 응답자(19세 이상 표본),가중치 적용 조율,"<표>심폐소생술교육경험률및심폐소생술마네킹,AED실습경험률",12,4,208
수영구,2024,30-39,106,마네킹 실습 경험률,30.8,5.2,16.8,,,최근 2년 동안,해당 하위집단 조사대상 응답자(19세 이상 표본),가중치 적용 조율,"<표>심폐소생술교육경험률및심폐소생술마네킹,AED실습경험률",12,6,208
