행정동코드,행정동명,나이대,평균주거인구수,평균직장인구수,평균방문인구수,aggregation,months
2617065000,동구 범일1동,30대,671.0,115.16666666666667,245.91666666666666,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2617065000,동구 범일1동,40대,799.9166666666666,130.25,240.08333333333334,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2617065000,동구 범일1동,50대,1142.0,165.5,300.9166666666667,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2617065000,동구 범일1동,60대이상,4096.083333333333,190.16666666666666,617.5,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2617066000,동구 범일2동,20대,641.9166666666666,422.1666666666667,592.3333333333334,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2617066000,동구 범일2동,20대미만,342.75,57.333333333333336,176.0,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2617066000,동구 범일2동,30대,731.6666666666666,747.1666666666666,800.4166666666666,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2617066000,동구 범일2동,40대,720.5,970.0833333333334,838.0,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2617066000,동구 범일2동,50대,968.0,1080.0,1121.5,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2617066000,동구 범일2동,60대이상,2256.9166666666665,893.5833333333334,2110.6666666666665,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2617068000,동구 범일5동,20대,581.3333333333334,95.16666666666667,430.1666666666667,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2617068000,동구 범일5동,20대미만,441.5833333333333,114.33333333333333,197.25,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
2617068000,동구 범일5동,30대,1354.0833333333333,165.25,515.3333333333334,2024 기준년월12개의 월별일평균 값을 동일 가중 평균,12
