CLMTY_SGG_NM,CLMTY_EMD_NM,EMRG_RSCU_ASSRT_NM,EMRG_RSCU_CLSF_NM,scope,period,priorStable,beforeMobile,afterMobile,mobileRetention,beforeWeekendRatio,afterWeekendRatio,weekendDirectionReversed,weekendBeyond09_11,dayShareChangePP,hourTVD,beforeAll,afterAll,removedOtherChannels,removedWithinMobile,otherChannelsSurviving
연제구,연산동,화재,일반화재(주택),A,2021,False,52,30,0.5769230769230769,1.9903846153846154,2.868131868131868,False,False,1.1538461538461608,0.1512820512820513,61,30,9,22,0
연제구,연산동,화재,일반화재(주택),A,2022,False,56,37,0.6607142857142857,1.996927803379416,2.104761904761905,False,False,-0.38610038610038533,0.13320463320463324,74,37,18,19,0
연제구,연산동,화재,일반화재(주택),A,2023,False,66,52,0.7878787878787878,0.5502645502645502,0.3851851851851852,False,False,-2.156177156177158,0.05536130536130536,81,52,15,14,0
연제구,연산동,화재,일반화재(주택),A,2024,False,56,43,0.7678571428571429,0.5476588628762542,0.5758241758241759,False,False,8.513289036544847,0.11544850498338871,69,43,13,13,0
연제구,연산동,화재,일반화재(주택),B,2020,False,28,17,0.6071428571428571,1.6300904977375565,0.7751479289940829,True,True,1.6806722689075682,0.23109243697478993,35,17,7,11,0
연제구,연산동,화재,일반화재(주택),B,2020–2024,False,111,77,0.6936936936936937,1.5217391304347827,1.35,False,False,1.5795015795015743,0.11068211068211067,135,77,24,34,0
연제구,연산동,화재,일반화재(주택),B,2021,False,21,13,0.6190476190476191,1.5443786982248522,2.151098901098901,False,False,8.424908424908429,0.20879120879120883,23,13,2,8,0
연제구,연산동,화재,일반화재(주택),B,2022,False,23,15,0.6521739130434783,1.9047619047619047,2.1666666666666665,False,False,-5.507246376811592,0.23478260869565218,32,15,9,8,0
연제구,연산동,화재,일반화재(주택),B,2023,False,20,17,0.85,1.3333333333333333,1.0317460317460316,False,False,-2.941176470588236,0.11470588235294119,22,17,2,3,0
연제구,연산동,화재,일반화재(주택),B,2024,False,19,15,0.7894736842105263,1.1627218934911243,1.2596153846153846,False,False,10.175438596491226,0.14035087719298245,23,15,4,4,0
연제구,연산동,화재,일반화재(주택),C,2020,False,28,17,0.6071428571428571,1.6300904977375565,0.7751479289940829,True,True,1.6806722689075682,0.23109243697478993,35,17,7,11,0
연제구,연산동,화재,일반화재(주택),C,2020–2024,False,111,77,0.6936936936936937,1.5217391304347827,1.35,False,False,1.5795015795015743,0.11068211068211067,135,77,24,34,0
연제구,연산동,화재,일반화재(주택),C,2021,False,21,13,0.6190476190476191,1.5443786982248522,2.151098901098901,False,False,8.424908424908429,0.20879120879120883,23,13,2,8,0
연제구,연산동,화재,일반화재(주택),C,2022,False,23,15,0.6521739130434783,1.9047619047619047,2.1666666666666665,False,False,-5.507246376811592,0.23478260869565218,32,15,9,8,0
연제구,연산동,화재,일반화재(주택),C,2023,False,20,17,0.85,1.3333333333333333,1.0317460317460316,False,False,-2.941176470588236,0.11470588235294119,22,17,2,3,0
연제구,연산동,화재,일반화재(주택),C,2024,False,19,15,0.7894736842105263,1.1627218934911243,1.2596153846153846,False,False,10.175438596491226,0.14035087719298245,23,15,4,4,0
영도구,남항동1가,구급,교통사고,A,2020,False,8,7,0.875,2.5192307692307696,1.889423076923077,False,False,-3.57142857142857,0.10714285714285712,11,7,3,1,0
영도구,남항동1가,구급,교통사고,A,2020–2024,False,57,47,0.8245614035087719,0.813953488372093,0.763888888888889,False,False,-2.4636058230683155,0.13064576334453154,75,47,18,10,0
영도구,남항동1가,구급,교통사고,A,2021,False,7,6,0.8571428571428571,0.0,0.0,False,False,0.0,0.09523809523809523,9,6,2,1,0
영도구,남항동1가,구급,교통사고,A,2022,False,20,18,0.9,0.8253968253968254,0.9523809523809523,False,False,4.999999999999999,0.08333333333333331,23,18,3,2,0
영도구,남항동1가,구급,교통사고,A,2023,False,14,10,0.7142857142857143,0.41269841269841273,0.6190476190476191,False,False,-11.428571428571432,0.28571428571428575,20,10,6,4,0
영도구,남항동1가,구급,교통사고,A,2024,False,8,6,0.75,1.5115384615384615,0.5038461538461538,True,True,-4.1666666666666625,0.25,12,6,4,2,0
