snapshot,fieldStudyArea,district,lawDong,lawDongCode,category,shops,denominatorShops,sharePct,busanSameSnapshotSharePct,differenceFromBusanPercentagePoints
20240930,신평역 주변,사하구,신평동,2638010400,보건의료,4,1081,0.3700277520814061,1.3906254341363118,-1.0205976820549056
20240930,신평역 주변,사하구,신평동,2638010400,부동산,26,1081,2.4051803885291396,3.888472118029507,-1.4832917295003676
20240930,신평역 주변,사하구,신평동,2638010400,소매,239,1081,22.109158186864015,25.352171376177377,-3.2430131893133627
20240930,신평역 주변,사하구,신평동,2638010400,수리·개인,180,1081,16.651248843663275,12.929621294212442,3.721627549450833
20240930,신평역 주변,사하구,신평동,2638010400,숙박,3,1081,0.27752081406105455,1.562196104581701,-1.2846752905206464
20240930,신평역 주변,사하구,신평동,2638010400,시설관리·임대,29,1081,2.682701202590194,3.600900225056264,-0.9181990224660699
20240930,신평역 주변,사하구,신평동,2638010400,예술·스포츠,61,1081,5.642923219241443,3.794004056569698,1.8489191626717454
20240930,신평역 주변,사하구,신평동,2638010400,음식,374,1081,34.59759481961147,34.791336723069655,-0.1937419034581822
20241231,부전시장,부산진구,부전동,2623010300,과학·기술,574,7064,8.125707814269536,8.207383548067394,-0.08167573379785864
20241231,부전시장,부산진구,부전동,2623010300,교육,224,7064,3.1710079275198186,4.79187314172448,-1.6208652142046613
20241231,부전시장,부산진구,부전동,2623010300,보건의료,305,7064,4.31766704416761,1.4271555996035679,2.8905114445640425
20241231,부전시장,부산진구,부전동,2623010300,부동산,215,7064,3.0436013590033975,3.7450445986124876,-0.7014432396090902
20241231,부전시장,부산진구,부전동,2623010300,소매,2162,7064,30.605889014722536,25.074950445986126,5.53093856873641
20241231,부전시장,부산진구,부전동,2623010300,수리·개인,686,7064,9.711211778029446,12.926164519326065,-3.214952741296619
20241231,부전시장,부산진구,부전동,2623010300,숙박,179,7064,2.5339750849377123,1.6389990089197224,0.8949760760179899
20241231,부전시장,부산진구,부전동,2623010300,시설관리·임대,229,7064,3.241789354473386,3.5790386521308224,-0.3372492976574364
20241231,부전시장,부산진구,부전동,2623010300,예술·스포츠,173,7064,2.4490373725934313,3.8150396432111,-1.3660022706176687
20241231,부전시장,부산진구,부전동,2623010300,음식,2317,7064,32.800113250283125,34.79435084241823,-1.9942375921351072
20241231,못골시장,남구,대연동,2629010600,과학·기술,446,4826,9.241607956900124,8.207383548067394,1.0342244088327295
20241231,못골시장,남구,대연동,2629010600,교육,303,4826,6.27849150435143,4.79187314172448,1.4866183626269498
20241231,못골시장,남구,대연동,2629010600,보건의료,101,4826,2.0928305014504764,1.4271555996035679,0.6656749018469086
20241231,못골시장,남구,대연동,2629010600,부동산,206,4826,4.268545379196022,3.7450445986124876,0.5235007805835341
20241231,못골시장,남구,대연동,2629010600,소매,886,4826,18.358889349357646,25.074950445986126,-6.716061096628479
20241231,못골시장,남구,대연동,2629010600,수리·개인,630,4826,13.054289266473269,12.926164519326065,0.12812474714720423
20241231,못골시장,남구,대연동,2629010600,숙박,47,4826,0.9738914214670534,1.6389990089197224,-0.665107587452669
20241231,못골시장,남구,대연동,2629010600,시설관리·임대,189,4826,3.916286779941981,3.5790386521308224,0.33724812781115876
20241231,못골시장,남구,대연동,2629010600,예술·스포츠,221,4826,4.579361790302528,3.8150396432111,0.7643221470914279
20241231,못골시장,남구,대연동,2629010600,음식,1797,4826,37.23580605055947,34.79435084241823,2.4414552081412353
20241231,광안역 주변,수영구,광안동,2650010400,과학·기술,287,3714,7.727517501346258,8.207383548067394,-0.47986604672113664
20241231,광안역 주변,수영구,광안동,2650010400,교육,148,3714,3.984921917070544,4.79187314172448,-0.8069512246539361
20241231,광안역 주변,수영구,광안동,2650010400,보건의료,71,3714,1.9116855142703284,1.4271555996035679,0.48452991466676054
20241231,광안역 주변,수영구,광안동,2650010400,부동산,179,3714,4.819601507808293,3.7450445986124876,1.0745569091958052
20241231,광안역 주변,수영구,광안동,2650010400,소매,706,3714,19.009154550350026,25.074950445986126,-6.0657958956361
20241231,광안역 주변,수영구,광안동,2650010400,수리·개인,525,3714,14.135702746365105,12.926164519326065,1.2095382270390402
20241231,광안역 주변,수영구,광안동,2650010400,숙박,179,3714,4.819601507808293,1.6389990089197224,3.1806024988885704
20241231,광안역 주변,수영구,광안동,2650010400,시설관리·임대,120,3714,3.231017770597738,3.5790386521308224,-0.3480208815330843
20241231,광안역 주변,수영구,광안동,2650010400,예술·스포츠,105,3714,2.827140549273021,3.8150396432111,-0.9878990939380792
20241231,광안역 주변,수영구,광안동,2650010400,음식,1394,3714,37.533656435110395,34.79435084241823,2.739305592692162
20241231,신평역 주변,사하구,신평동,2638010400,과학·기술,140,1188,11.784511784511784,8.207383548067394,3.5771282364443895
20241231,신평역 주변,사하구,신평동,2638010400,교육,45,1188,3.787878787878788,4.79187314172448,-1.003994353845692
20241231,신평역 주변,사하구,신평동,2638010400,보건의료,5,1188,0.4208754208754209,1.4271555996035679,-1.006280178728147
20241231,신평역 주변,사하구,신평동,2638010400,부동산,28,1188,2.356902356902357,3.7450445986124876,-1.3881422417101308
20241231,신평역 주변,사하구,신평동,2638010400,소매,267,1188,22.474747474747474,25.074950445986126,-2.6002029712386516
20241231,신평역 주변,사하구,신평동,2638010400,수리·개인,190,1188,15.993265993265993,12.926164519326065,3.0671014739399283
20241231,신평역 주변,사하구,신평동,2638010400,숙박,2,1188,0.16835016835016836,1.6389990089197224,-1.4706488405695541
20241231,신평역 주변,사하구,신평동,2638010400,시설관리·임대,32,1188,2.6936026936026938,3.5790386521308224,-0.8854359585281286
20241231,신평역 주변,사하구,신평동,2638010400,예술·스포츠,63,1188,5.303030303030303,3.8150396432111,1.4879906598192028
20241231,신평역 주변,사하구,신평동,2638010400,음식,416,1188,35.01683501683502,34.79435084241823,0.2224841744167847
